INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../HLS-Verilog/Weight_Loader-Stager/Weight_stager.cpp in debug mode
   Compiling ../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.cpp in debug mode
   Compiling ../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp in debug mode
   Generating csim.exe
Cycle    Start  Reset  | CtrlAddr   | CtrlDin    CtrlDout   Rd       Wr       CE       RstN     | DbgState         MemReq   DMA_Addr   DbgDone  Seen   IRQ        IRQFlag    IRQData    | MemCtrl    MemIRQ     MemIRQEn   | wl{WLrdy WLstrt WLSel Layer Head Tile} err=Err dma_req=DMAReq dma_done=DMADone dma_addr=DMAAddr
15       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
16       0      1      | 56         | 256        0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
17       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
18       0      1      | 60         | 768        0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
19       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
20       0      1      | 64         | 2048       0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
21       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
22       0      1      | 68         | 268435456  0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
23       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
24       0      1      | 72         | 536870912  0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
25       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
26       0      1      | 76         | 805306368  0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
27       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
28       0      1      | 92         | 1073741824 0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
29       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
30       0      1      | 96         | 1342177280 0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
31       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
32       0      1      | 80         | 1610612736 0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
33       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
34       0      1      | 84         | 1879048192 0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
35       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
36       0      1      | 88         | 2147483648 0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
37       0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
38       1      1      | 0          | 3          0          -        1        1        1        | S_STREAM_IN      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
39       1      1      | 8          | 0          0          -        -        -        1        | S_STREAM_IN      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{0 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
40       0      1      | 0          | 1          0          -        1        1        1        | S_STREAM_IN      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
41       0      1      | 8          | 0          0          -        -        -        1        | S_STREAM_IN      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
42       0      1      | 8          | 0          0          1        -        1        1        | S_LAYER_COUNT    -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
43       0      1      | 8          | 0          0          -        -        -        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
44       0      1      | 8          | 0          0          1        -        1        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{0 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:Q      -  0x00000000 -  1:Q      -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
45       0      1      | 8          | 0          0          -        -        -        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:Q      -  0x00000000 -  1:Q      -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
46       0      1      | 8          | 0          0          1        -        1        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:Q      1  0x10000000 -  1:Q      1  0x10000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
47       0      1      | 8          | 0          0          -        -        -        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:Q      -  0x10000000 -  1:Q      -  0x10000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
